time,Fx,Fy,Fz
2.570000,0.000000,0.000000,6.405565
2.572000,0.000000,0.000000,9.183906
2.574000,0.000000,0.000000,13.999484
2.576000,0.000000,0.000000,21.669448
2.578000,0.000000,0.000000,33.337890
2.580000,0.000000,0.000000,52.912503
2.582000,0.000000,0.000000,74.117415
2.584000,0.000000,0.000000,96.379868
2.586000,0.000000,0.000000,118.254010
2.588000,0.000000,0.000000,137.717463
2.590000,0.000000,0.000000,152.695564
2.592000,0.000000,0.000000,161.354803
2.594000,0.000000,0.000000,162.652692
2.596000,0.000000,0.000000,156.847672
2.598000,0.000000,0.000000,145.604507
2.600000,0.000000,0.000000,131.648987
2.602000,0.000000,0.000000,118.035150
2.604000,0.000000,0.000000,100.145380
2.606000,0.000000,0.000000,100.675715
2.608000,0.000000,0.000000,99.182044
2.610000,0.000000,0.000000,97.599853
2.612000,0.000000,0.000000,98.874642
2.614000,0.000000,0.000000,100.981772
2.616000,0.000000,0.000000,103.285634
2.618000,0.000000,0.000000,105.728438
2.620000,0.000000,0.000000,108.380560
2.622000,0.000000,0.000000,111.190341
2.624000,0.000000,0.000000,113.951519
2.626000,0.000000,0.000000,116.400771
2.628000,0.000000,0.000000,157.407461
2.630000,0.000000,0.000000,157.357516
2.632000,0.000000,0.000000,145.753939
2.634000,0.000000,0.000000,132.997211
2.636000,0.000000,0.000000,121.223089
2.638000,0.000000,0.000000,110.796127
2.640000,0.000000,0.000000,101.754723
2.642000,0.000000,0.000000,94.093552
2.644000,0.000000,0.000000,87.780693
2.646000,0.000000,0.000000,82.782974
2.648000,0.000000,0.000000,79.049446
2.650000,0.000000,0.000000,76.528395
2.652000,0.000000,0.000000,75.156746
2.654000,0.000000,0.000000,74.848850
2.656000,0.000000,0.000000,76.895794
2.658000,0.000000,0.000000,79.654475
2.660000,0.000000,0.000000,82.927125
2.662000,0.000000,0.000000,86.667620
2.664000,0.000000,0.000000,90.876631
2.666000,0.000000,0.000000,95.551114
2.668000,0.000000,0.000000,100.663508
2.670000,0.000000,0.000000,106.159297
2.672000,0.000000,0.000000,111.963429
2.674000,0.000000,0.000000,117.989622
2.676000,0.000000,0.000000,124.149133
2.678000,0.000000,0.000000,130.357370
2.680000,0.000000,0.000000,136.539961
2.682000,0.000000,0.000000,142.630581
2.684000,0.000000,0.000000,148.572536
2.686000,0.000000,0.000000,153.688944
2.688000,0.000000,0.000000,159.135126
2.690000,0.000000,0.000000,164.350273
2.692000,0.000000,0.000000,170.102294
2.694000,0.000000,0.000000,174.797839
2.696000,0.000000,0.000000,178.214864
2.698000,0.000000,0.000000,182.182262
2.700000,0.000000,0.000000,185.903657
2.702000,0.000000,0.000000,190.363600
2.704000,0.000000,0.000000,193.514421
2.706000,0.000000,0.000000,195.189009
2.708000,0.000000,0.000000,198.735001
2.710000,0.000000,0.000000,201.010827
2.712000,0.000000,0.000000,201.814707
2.714000,0.000000,0.000000,204.636971
2.716000,0.000000,0.000000,206.179873
2.718000,0.000000,0.000000,206.251495
2.720000,0.000000,0.000000,208.416889
2.722000,0.000000,0.000000,209.326540
2.724000,0.000000,0.000000,208.806683
2.726000,0.000000,0.000000,209.264757
2.728000,0.000000,0.000000,210.822334
2.730000,0.000000,0.000000,211.064372
2.732000,0.000000,0.000000,211.054560
2.734000,0.000000,0.000000,210.900655
2.736000,0.000000,0.000000,210.650363
2.738000,0.000000,0.000000,210.323670
2.740000,0.000000,0.000000,209.923343
2.742000,0.000000,0.000000,209.444733
2.744000,0.000000,0.000000,207.850137
2.746000,0.000000,0.000000,207.227927
2.748000,0.000000,0.000000,207.624713
2.750000,0.000000,0.000000,206.927068
2.752000,0.000000,0.000000,206.031511
2.754000,0.000000,0.000000,205.042078
2.756000,0.000000,0.000000,203.089831
2.758000,0.000000,0.000000,202.950222
2.760000,0.000000,0.000000,201.961988
2.762000,0.000000,0.000000,200.848262
2.764000,0.000000,0.000000,199.660424
2.766000,0.000000,0.000000,198.423788
2.768000,0.000000,0.000000,197.153329
2.770000,0.000000,0.000000,195.855264
2.772000,0.000000,0.000000,194.530108
2.774000,0.000000,0.000000,193.176447
2.776000,0.000000,0.000000,191.793602
2.778000,0.000000,0.000000,190.382646
2.780000,0.000000,0.000000,188.950332
2.782000,0.000000,0.000000,187.500108
2.784000,0.000000,0.000000,185.463465
2.786000,0.000000,0.000000,184.567006
2.788000,0.000000,0.000000,183.146215
2.790000,0.000000,0.000000,181.654484
2.792000,0.000000,0.000000,180.137797
2.794000,0.000000,0.000000,178.168474
2.796000,0.000000,0.000000,176.681182
2.798000,0.000000,0.000000,175.654464
2.800000,0.000000,0.000000,174.212060
2.802000,0.000000,0.000000,172.714767
2.804000,0.000000,0.000000,171.210742
2.806000,0.000000,0.000000,169.731717
2.808000,0.000000,0.000000,168.286231
2.810000,0.000000,0.000000,166.875018
2.812000,0.000000,0.000000,165.493038
2.814000,0.000000,0.000000,164.131159
2.816000,0.000000,0.000000,162.784053
2.818000,0.000000,0.000000,161.453911
2.820000,0.000000,0.000000,160.154265
2.822000,0.000000,0.000000,158.886505
2.824000,0.000000,0.000000,157.655949
2.826000,0.000000,0.000000,156.466592
2.828000,0.000000,0.000000,155.237261
2.830000,0.000000,0.000000,154.167457
2.832000,0.000000,0.000000,154.163322
2.834000,0.000000,0.000000,154.358470
2.836000,0.000000,0.000000,153.957402
2.838000,0.000000,0.000000,153.137611
2.840000,0.000000,0.000000,151.884304
2.842000,0.000000,0.000000,150.464659
2.844000,0.000000,0.000000,149.081134
2.846000,0.000000,0.000000,147.792373
2.848000,0.000000,0.000000,146.624028
2.850000,0.000000,0.000000,145.518900
2.852000,0.000000,0.000000,149.203833
2.854000,0.000000,0.000000,143.743191
2.856000,0.000000,0.000000,141.115671
2.858000,0.000000,0.000000,139.305098
2.860000,0.000000,0.000000,136.477149
2.862000,0.000000,0.000000,132.273824
2.864000,0.000000,0.000000,128.135671
2.866000,0.000000,0.000000,123.733226
2.868000,0.000000,0.000000,119.717084
2.870000,0.000000,0.000000,115.749852
2.872000,0.000000,0.000000,112.697934
2.874000,0.000000,0.000000,110.031151
2.876000,0.000000,0.000000,107.567928
2.878000,0.000000,0.000000,105.792508
2.880000,0.000000,0.000000,103.072036
2.882000,0.000000,0.000000,101.053342
2.884000,0.000000,0.000000,99.432620
2.886000,0.000000,0.000000,98.199493
2.888000,0.000000,0.000000,97.322307
2.890000,0.000000,0.000000,96.776325
2.892000,0.000000,0.000000,96.552802
2.894000,0.000000,0.000000,96.663241
2.896000,0.000000,0.000000,97.127250
2.898000,0.000000,0.000000,97.959112
2.900000,0.000000,0.000000,99.160334
2.902000,0.000000,0.000000,100.719593
2.904000,0.000000,0.000000,102.619026
