time,Fx,Fy,Fz
0.730000,8.392174,6.594873,66.317549
0.732000,7.884777,6.110326,66.880340
0.734000,6.690918,4.655300,69.489319
0.736000,5.803613,3.481785,70.894328
0.738000,5.433583,2.786416,70.773355
0.740000,4.794749,1.773171,72.012037
0.742000,4.158372,0.778986,73.363029
0.744000,3.106256,-0.706277,76.276055
0.746000,2.832615,-1.272290,76.418560
0.748000,1.431070,-2.959396,79.506913
0.750000,0.918632,-3.857627,81.016709
0.752000,1.543896,-3.674079,80.426892
0.754000,-0.576887,-0.612919,86.451917
0.756000,-0.496928,-0.525577,86.505651
0.758000,-2.354809,-2.633908,91.742484
0.760000,-0.849012,-1.951230,89.029607
0.762000,-0.586460,-2.746340,89.434934
0.764000,-0.327705,-3.595950,89.877027
0.766000,-1.684860,-6.142476,93.864783
0.768000,-1.603069,-7.141958,94.795139
0.770000,-1.288533,-7.762378,95.234148
0.772000,-0.927105,-8.282478,95.589162
0.774000,-0.557380,-8.826983,95.949696
0.776000,-0.158203,-9.247658,96.261487
0.778000,-4.935294,6.554343,110.726421
0.780000,-4.373673,5.448758,110.731242
0.782000,-3.690970,4.085220,110.442843
0.784000,1.889640,4.952968,98.219947
0.786000,1.964935,-5.005984,98.989165
0.788000,2.380374,-12.270728,98.887030
0.790000,3.660385,-16.009682,96.750634
0.792000,4.820369,-19.042862,95.089985
0.794000,5.580326,-20.219593,94.545028
0.796000,3.675554,-23.199596,101.047792
0.798000,9.356568,-16.408148,87.864369
0.800000,10.439398,-14.790838,86.625936
0.802000,11.424414,-13.011498,85.600192
0.804000,4.851988,5.388255,130.940766
0.806000,6.059416,-0.667955,130.332001
0.808000,8.283454,-7.523748,124.549434
0.810000,6.888263,-16.544597,128.895702
0.812000,9.149878,-20.037604,122.416568
0.814000,-23.772623,27.606838,277.333710
0.816000,-23.507614,26.498067,282.057534
0.818000,-21.778308,23.648211,272.109929
0.820000,-20.552672,20.408130,261.083529
0.822000,-17.530892,17.635698,250.024027
0.824000,-15.287717,14.435147,238.166916
0.826000,-13.232162,11.324409,226.331831
0.828000,-6.661451,8.532831,215.444371
0.830000,-3.966221,5.953796,205.572520
0.832000,-1.872926,3.606721,196.206743
0.834000,0.337125,1.146154,186.423828
0.836000,2.431010,-1.139600,177.153100
0.838000,4.289091,-2.979003,169.262786
0.840000,6.032782,-4.620924,161.925052
0.842000,7.667963,-6.107424,155.006097
0.844000,9.317132,-7.640370,147.846448
0.846000,10.738013,-8.863934,141.643179
0.848000,12.033720,-9.941211,135.830850
0.850000,13.219263,-10.902796,130.329265
0.852000,14.385747,-11.888880,124.638791
0.854000,14.607287,-11.697780,120.148156
0.856000,15.391266,-12.248309,115.603378
0.858000,15.865018,-13.111849,111.361773
0.860000,16.698431,-13.613307,107.242522
