time,left_hip_yaw,left_hip_pitch,left_knee,right_hip_yaw,right_hip_pitch,right_knee
0.264000,0.557097,1.778409,-0.183293,13.262831,-4.130275,-14.292344
0.266000,0.600115,1.955791,-0.224391,13.241738,-3.815414,-14.089496
0.268000,0.897225,9.412587,-15.775854,-4.069590,2.565996,2.476797
0.270000,0.811673,8.937680,-15.238829,-4.274510,2.635857,2.686464
0.272000,0.172617,8.454700,-14.693556,-4.313461,2.567806,2.674130
0.274000,-0.479766,8.004926,-14.208447,-4.340727,2.540486,2.675403
0.276000,-1.117161,7.620531,-13.833436,-4.317571,2.490728,2.650349
0.278000,-1.723707,7.311163,-13.571571,-4.266766,2.422110,2.595417
0.280000,-2.306701,7.066813,-13.406686,-4.191299,2.335379,2.511708
0.282000,-2.875615,6.875398,-13.321347,-4.093768,2.231411,2.400666
0.284000,-3.437563,6.725731,-13.299327,-3.977857,2.112282,2.264939
0.286000,-4.017553,6.606465,-13.330868,-3.840768,1.969669,2.094857
0.288000,-5.126833,6.493064,-13.542648,-3.531855,1.520081,1.558150
0.290000,-6.207726,6.380149,-13.746268,-3.214720,1.059211,1.009342
0.292000,-7.168599,6.206643,-13.846743,-2.950165,0.668130,0.557894
0.294000,-8.002690,5.966898,-13.837728,-2.751171,0.364748,0.226117
0.296000,-8.758225,5.640170,-13.721909,-2.640498,0.206636,0.030831
0.298000,-9.367273,5.334281,-13.594827,-2.547662,0.055702,-0.099691
0.300000,-9.876588,5.050382,-13.480762,-2.482792,-0.047693,-0.171050
0.302000,-10.297683,4.791505,-13.387045,-2.443738,-0.109270,-0.194238
0.304000,-10.642742,4.567359,-13.326859,-2.419198,-0.139349,-0.184074
0.306000,-10.873716,4.424189,-13.322546,-2.380500,-0.204939,-0.170907
0.308000,-11.148739,4.252406,-13.345051,-2.385793,-0.140033,-0.117193
0.310000,-11.332450,4.152112,-13.412403,-2.372807,-0.117117,-0.071007
0.312000,-11.430269,4.145852,-13.545894,-2.335791,-0.144555,-0.046683
0.314000,-11.595072,4.123175,-13.727208,-2.320601,-0.067517,-0.012814
0.316000,-11.692987,4.159862,-13.932803,-2.290023,-0.033032,0.010018
0.318000,-11.774731,4.243943,-14.183359,-2.252452,0.001907,0.021421
0.320000,-11.820657,4.379856,-14.460743,-2.374411,0.097370,0.175709
0.322000,-11.913807,4.504936,-14.761205,-2.167405,0.083851,0.026194
0.324000,-11.940134,4.704938,-15.083479,-2.084327,0.066155,-0.027160
0.326000,-12.049721,4.878305,-15.430045,-2.046760,0.156896,-0.037130
0.328000,-12.123872,5.060557,-15.737540,-2.018920,0.233706,-0.023720
0.330000,-12.204379,5.262906,-16.055288,-1.992179,0.317864,-0.009807
0.332000,-12.292843,5.482918,-16.382996,-1.961359,0.404911,-0.002890
0.334000,-12.390555,5.718638,-16.718565,-1.925972,0.494059,-0.004161
0.336000,-12.498400,5.966935,-17.058252,-1.886943,0.585972,-0.012073
0.338000,-12.616912,6.224527,-17.398171,-1.845593,0.681715,-0.024411
0.340000,-12.746310,6.488603,-17.735115,-1.803024,0.782174,-0.039279
0.342000,-12.886530,6.756996,-18.066777,-1.759918,0.887866,-0.055415
0.344000,-13.037265,7.028113,-18.391641,-1.716581,0.998971,-0.072140
0.346000,-13.198023,7.300775,-18.708752,-1.673437,1.115569,-0.089150
0.348000,-13.368167,7.574070,-19.017515,-1.629644,1.237221,-0.106433
0.350000,-13.546950,7.847266,-19.317574,-1.585422,1.363793,-0.124018
0.352000,-13.697232,8.091528,-19.564405,-1.547764,1.495278,-0.122485
0.354000,-13.927125,8.390693,-19.890477,-1.509630,1.640399,-0.156829
0.356000,-14.126953,8.660298,-20.167176,-1.466137,1.782576,-0.179980
0.358000,-14.329632,8.924648,-20.430103,-1.424558,1.931466,-0.198735
0.362000,-14.329632,8.924648,-20.430103,-1.431194,2.008533,-0.208521
0.362000,-14.747667,9.444500,-20.927752,-1.341154,2.242682,-0.233934
0.364000,-14.962121,9.712583,-21.180772,-1.294629,2.403238,-0.255502
0.366000,-15.178523,9.967214,-21.411080,-1.249263,2.566758,-0.274911
0.368000,-15.397675,10.217318,-21.631433,-1.203639,2.733475,-0.293563
0.370000,-15.618148,10.463950,-21.843832,-1.157155,2.902648,-0.312250
0.372000,-15.839121,10.707244,-22.048866,-1.109656,3.073791,-0.331213
0.374000,-16.059992,10.947084,-22.246751,-1.061219,3.246558,-0.350392
0.376000,-16.280241,11.183287,-22.437593,-1.021173,3.426458,-0.367751
0.378000,-16.499390,11.415685,-22.621492,-0.980695,3.608161,-0.384614
0.380000,-16.715781,11.645203,-22.800702,-0.937768,3.790235,-0.403019
0.382000,-16.930165,11.871771,-22.974908,-0.892482,3.972517,-0.422189
0.384000,-17.142500,12.094984,-23.143788,-0.846241,4.154711,-0.441671
0.386000,-17.142500,12.094984,-23.143788,-0.768425,4.230401,-0.555503
0.388000,-17.560340,12.530260,-23.464947,-0.752301,4.517427,-0.480263
0.390000,-17.778082,12.744504,-23.617963,-0.724487,4.709540,-0.472782
0.392000,-17.981678,12.955205,-23.768265,-0.675550,4.886203,-0.495448
0.394000,-18.177087,13.160238,-23.916331,-0.619604,5.056288,-0.527328
0.396000,-18.368296,13.359740,-24.057665,-0.562972,5.223402,-0.558412
0.398000,-18.555746,13.552124,-24.190056,-0.510900,5.388317,-0.585732
0.400000,-18.709549,13.700432,-24.294861,-0.439791,5.555785,-0.604579
0.402000,-18.918348,13.915849,-24.429118,-0.428467,5.720429,-0.625061
0.404000,-19.097980,14.093743,-24.543078,-0.395506,5.886364,-0.639267
0.406000,-19.267541,14.262747,-24.648517,-0.362029,6.047729,-0.653269
0.408000,-19.431344,14.427581,-24.750083,-0.329948,6.202754,-0.668856
0.410000,-19.587939,14.586285,-24.845281,-0.296008,6.351431,-0.685025
0.412000,-19.738664,14.740313,-24.936174,-0.262099,6.492471,-0.702526
0.414000,-19.862144,14.855642,-25.011932,-0.201578,6.627470,-0.722791
0.416000,-20.002057,14.999447,-25.093709,-0.170720,6.750746,-0.743684
0.418000,-20.158519,15.173947,-25.181071,-0.170783,6.863644,-0.761014
0.420000,-20.287902,15.308310,-25.252025,-0.142442,6.968481,-0.780610
0.422000,-20.404641,15.430820,-25.312044,-0.113685,7.062467,-0.802418
0.424000,-20.498372,15.513428,-25.357774,-0.057753,7.144269,-0.830842
0.426000,-20.611088,15.649549,-25.405428,-0.086811,7.240341,-0.838746
0.428000,-20.703769,15.748052,-25.439660,-0.088027,7.326055,-0.848613
0.430000,-20.783627,15.836708,-25.466957,-0.089006,7.398472,-0.864674
0.432000,-20.845771,15.889481,-25.486997,-0.057966,7.451399,-0.895262
0.434000,-20.912436,15.992458,-25.504859,-0.084460,7.498476,-0.911599
0.436000,-20.963738,16.062403,-25.515299,-0.079822,7.525387,-0.936675
0.438000,-21.001041,16.119029,-25.514564,-0.078310,7.536499,-0.966997
0.440000,-21.025295,16.136258,-25.501929,-0.048495,7.521591,-1.012254
0.442000,-21.038621,16.167283,-25.475663,-0.049566,7.498134,-1.046457
0.444000,-21.038621,16.167283,-25.475663,0.161698,7.553243,-1.279220
0.446000,-21.019322,16.211982,-25.373627,-0.094982,7.419457,-1.089066
0.448000,-21.011221,16.164902,-25.283212,-0.123544,7.358512,-1.076366
0.450000,-20.964729,16.133930,-25.194646,-0.120844,7.262804,-1.109577
0.452000,-20.893248,16.094013,-25.101475,-0.131793,7.290805,-1.082289
0.454000,-20.802276,16.035201,-24.988873,-0.136294,7.270155,-1.069509
0.456000,-20.706908,15.977295,-24.883117,-0.127559,7.195919,-1.088820
0.458000,-20.607155,15.915294,-24.777768,-0.113869,7.076624,-1.133027
0.460000,-20.496448,15.840834,-24.661065,-0.105691,6.923705,-1.189414
0.462000,-20.351246,15.764770,-24.517286,-0.132610,6.778536,-1.221260
0.464000,-20.227208,15.629561,-24.360409,-0.134368,6.556662,-1.298895
0.466000,-20.067213,15.489828,-24.175951,-0.171044,6.351708,-1.349702
0.468000,-19.881336,15.323162,-23.960504,-2.002519,6.328198,0.602069
