time,stance,left_hip_yaw,left_hip_pitch,left_knee,right_hip_yaw,right_hip_pitch,right_knee
0.684000,0,0.181873,0.873317,1.599683,-0.292546,-1.233281,1.752798
0.686000,0,0.181265,0.875150,1.596968,-0.292651,-1.228030,1.759468
0.688000,0,0.180718,0.876946,1.594170,-0.292724,-1.222401,1.765652
0.690000,0,0.180227,0.878714,1.591307,-0.292758,-1.216402,1.771303
0.692000,0,0.179793,0.880464,1.588385,-0.292738,-1.209974,1.776419
0.694000,0,0.179417,0.882191,1.585396,-0.292668,-1.203124,1.781031
0.696000,0,0.179095,0.883901,1.582354,-0.292550,-1.195861,1.785139
0.698000,0,0.178823,0.885585,1.579258,-0.292392,-1.188270,1.788745
0.700000,0,0.178600,0.887245,1.576115,-0.292196,-1.180377,1.791845
0.702000,0,0.178420,0.888884,1.572935,-0.291953,-1.172211,1.794422
0.704000,0,0.178284,0.890502,1.569715,-0.291669,-1.163780,1.796500
0.706000,0,0.178194,0.892101,1.566458,-0.291343,-1.155100,1.798109
0.708000,0,0.178153,0.893693,1.563173,-0.291033,-1.146123,1.799254
0.710000,0,0.178162,0.895275,1.559857,-0.290740,-1.136857,1.799956
0.712000,0,0.178224,0.896861,1.556519,-0.290463,-1.127241,1.800202
0.714000,0,0.178328,0.898436,1.553160,-0.290193,-1.117387,1.799986
