time,roll,pitch,yaw,roll_d,pitch_d,yaw_d
0.456000,3.100950,3.118451,-3.137786,3.141205,3.141353,-3.141562
0.458000,3.100950,3.118462,-3.137787,3.141205,3.141353,-3.141562
0.458000,3.100949,3.118473,-3.137787,3.141205,3.141353,-3.141562
0.460000,3.100948,3.118483,-3.137787,3.141205,3.141353,-3.141562
0.464000,3.100946,3.118503,-3.137787,3.141205,3.141353,-3.141562
0.466000,3.100946,3.118503,-3.137787,3.141205,3.141353,-3.141562
0.468000,3.100945,3.118513,-3.137787,3.141205,3.141353,-3.141562
0.468000,3.100943,3.118522,-3.137787,3.141205,3.141353,-3.141562
0.470000,3.100942,3.118532,-3.137787,3.141205,3.141353,-3.141562
0.474000,3.100937,3.118550,-3.137787,3.141205,3.141353,-3.141562
0.476000,3.100937,3.118550,-3.137787,3.141205,3.141353,-3.141562
0.478000,3.100935,3.118558,-3.137787,3.141205,3.141353,-3.141562
0.478000,3.100932,3.118567,-3.137787,3.141205,3.141353,-3.141562
0.480000,3.100928,3.118576,-3.137787,3.141205,3.141353,-3.141562
0.484000,3.100920,3.118593,-3.137787,3.141205,3.141353,-3.141562
0.486000,3.100920,3.118593,-3.137787,3.141205,3.141353,-3.141562
0.488000,3.100915,3.118601,-3.137787,3.141205,3.141353,-3.141562
0.488000,3.100910,3.118610,-3.137787,3.141205,3.141353,-3.141562
0.490000,3.100904,3.118618,-3.137786,3.141205,3.141353,-3.141562
0.492000,3.100897,3.118626,-3.137786,3.141205,3.141353,-3.141562
0.496000,3.100883,3.118642,-3.137786,3.141205,3.141353,-3.141562
0.498000,3.100883,3.118642,-3.137786,3.141205,3.141353,-3.141562
0.498000,3.100875,3.118651,-3.137786,3.141205,3.141353,-3.141562
0.500000,3.100867,3.118659,-3.137786,3.141205,3.141353,-3.141562
0.502000,3.100858,3.118667,-3.137785,3.141205,3.141353,-3.141562
0.504000,3.100848,3.118675,-3.137785,3.141205,3.141353,-3.141562
0.506000,3.100839,3.118683,-3.137785,3.141205,3.141353,-3.141562
0.508000,3.100828,3.118690,-3.137785,3.141205,3.141353,-3.141562
0.512000,3.100818,3.118698,-3.137785,3.141205,3.141353,-3.141562
0.512000,3.100807,3.118706,-3.137784,3.141205,3.141353,-3.141562
0.516000,3.100795,3.118714,-3.137784,3.141205,3.141353,-3.141562
0.516000,3.100783,3.118722,-3.137784,3.141205,3.141353,-3.141562
0.518000,3.100771,3.118730,-3.137784,3.141205,3.141353,-3.141562
0.520000,3.100758,3.118738,-3.137783,3.141205,3.141353,-3.141562
0.522000,3.100746,3.118745,-3.137783,3.141205,3.141353,-3.141562
0.526000,3.100732,3.118753,-3.137783,3.141205,3.141353,-3.141562
0.528000,3.100719,3.118761,-3.137783,3.141205,3.141353,-3.141562
0.530000,3.100705,3.118768,-3.137782,3.141205,3.141353,-3.141562
0.530000,3.100692,3.118776,-3.137782,3.141205,3.141353,-3.141562
0.532000,3.100677,3.118783,-3.137782,3.141205,3.141353,-3.141562
0.536000,3.100663,3.118791,-3.137781,3.141205,3.141353,-3.141562
0.536000,3.100648,3.118798,-3.137781,3.141205,3.141353,-3.141562
0.540000,3.100634,3.118805,-3.137781,3.141205,3.141353,-3.141562
0.540000,3.100619,3.118812,-3.137781,3.141205,3.141353,-3.141562
0.542000,3.100604,3.118819,-3.137780,3.141205,3.141353,-3.141562
0.546000,3.100574,3.118833,-3.137780,3.141205,3.141353,-3.141562
0.548000,3.100574,3.118833,-3.137780,3.141205,3.141353,-3.141562
0.548000,3.100559,3.118840,-3.137780,3.141205,3.141353,-3.141562
0.550000,3.100544,3.118847,-3.137779,3.141205,3.141353,-3.141562
0.552000,3.100529,3.118853,-3.137779,3.141205,3.141353,-3.141562
0.554000,3.100514,3.118860,-3.137779,3.141205,3.141353,-3.141562
0.558000,3.100499,3.118867,-3.137778,3.141205,3.141353,-3.141562
0.560000,3.100484,3.118874,-3.137778,3.141205,3.141353,-3.141562
0.560000,3.100469,3.118880,-3.137778,3.141205,3.141353,-3.141562
0.562000,3.100454,3.118887,-3.137778,3.141205,3.141353,-3.141562
0.564000,3.100440,3.118893,-3.137777,3.141205,3.141353,-3.141562
0.566000,3.100425,3.118899,-3.137777,3.141205,3.141353,-3.141562
0.568000,3.100411,3.118906,-3.137777,3.141205,3.141353,-3.141562
0.572000,3.100382,3.118918,-3.137776,3.141205,3.141353,-3.141562
0.574000,3.100382,3.118918,-3.137776,3.141205,3.141353,-3.141562
0.576000,3.100369,3.118925,-3.137776,3.141205,3.141353,-3.141562
0.576000,3.100355,3.118931,-3.137776,3.141205,3.141353,-3.141562
0.578000,3.100342,3.118937,-3.137776,3.141205,3.141353,-3.141562
0.582000,3.100329,3.118943,-3.137776,3.141205,3.141353,-3.141562
0.584000,3.100316,3.118950,-3.137776,3.141205,3.141353,-3.141562
0.584000,3.100303,3.118956,-3.137775,3.141205,3.141353,-3.141562
0.586000,3.100291,3.118962,-3.137775,3.141205,3.141353,-3.141562
0.588000,3.100279,3.118968,-3.137775,3.141205,3.141353,-3.141562
0.592000,3.100256,3.118981,-3.137775,3.141205,3.141353,-3.141562
0.594000,3.100256,3.118981,-3.137775,3.141205,3.141353,-3.141562
0.594000,3.100245,3.118987,-3.137775,3.141205,3.141353,-3.141562
0.596000,3.100234,3.118994,-3.137775,3.141205,3.141353,-3.141562
0.598000,3.100224,3.119000,-3.137775,3.141205,3.141353,-3.141562
0.602000,3.100204,3.119013,-3.137776,3.141205,3.141353,-3.141562
0.604000,3.100204,3.119013,-3.137776,3.141205,3.141353,-3.141562
0.606000,3.100194,3.119020,-3.137776,3.141205,3.141353,-3.141562
0.606000,3.100185,3.119026,-3.137776,3.141205,3.141353,-3.141562
0.608000,3.100176,3.119033,-3.137776,3.141205,3.141353,-3.141562
0.610000,3.100168,3.119039,-3.137776,3.141205,3.141353,-3.141562
0.612000,3.100160,3.119046,-3.137777,3.141205,3.141353,-3.141562
0.616000,3.100152,3.119053,-3.137777,3.141205,3.141353,-3.141562
0.616000,3.100145,3.119060,-3.137777,3.141205,3.141353,-3.141562
0.618000,3.100138,3.119066,-3.137778,3.141205,3.141353,-3.141562
0.622000,3.100125,3.119080,-3.137778,3.141205,3.141353,-3.141562
0.622000,3.100125,3.119080,-3.137778,3.141205,3.141353,-3.141562
0.624000,3.100119,3.119087,-3.137779,3.141205,3.141353,-3.141562
0.624000,3.100119,3.119087,-3.137779,3.141205,3.141353,-3.141562
0.628000,3.100108,3.119101,-3.137780,3.141205,3.141353,-3.141562
0.630000,3.100103,3.119108,-3.137780,3.141205,3.141353,-3.141562
0.632000,3.100098,3.119115,-3.137781,3.141205,3.141353,-3.141562
0.634000,3.100093,3.119123,-3.137782,3.141205,3.141353,-3.141562
0.638000,3.100089,3.119130,-3.137782,3.141205,3.141353,-3.141562
0.638000,3.100085,3.119138,-3.137783,3.141205,3.141353,-3.141562
0.640000,3.100081,3.119145,-3.137784,3.141205,3.141353,-3.141562
0.642000,3.100077,3.119153,-3.137785,3.141205,3.141353,-3.141562
0.646000,3.100073,3.119161,-3.137785,3.141205,3.141353,-3.141562
0.646000,3.100070,3.119169,-3.137786,3.141205,3.141353,-3.141562
0.648000,3.100067,3.119177,-3.137787,3.141205,3.141353,-3.141562
0.650000,3.100064,3.119184,-3.137788,3.141205,3.141353,-3.141562
0.654000,3.100061,3.119192,-3.137789,3.141205,3.141353,-3.141562
0.656000,3.100059,3.119200,-3.137790,3.141205,3.141353,-3.141562
0.658000,3.100056,3.119208,-3.137791,3.141205,3.141353,-3.141562
0.658000,3.100055,3.119215,-3.137792,3.141205,3.141353,-3.141562
0.660000,3.100055,3.119215,-3.137792,3.141205,3.141353,-3.141562
0.662000,3.100052,3.119230,-3.137794,3.141205,3.141353,-3.141562
0.666000,3.100050,3.119245,-3.137796,3.141205,3.141353,-3.141562
0.666000,3.100050,3.119245,-3.137796,3.141205,3.141353,-3.141562
0.668000,3.100049,3.119253,-3.137797,3.141205,3.141353,-3.141562
