time,roll,pitch,yaw,roll_d,pitch_d,yaw_d
0.324000,3.125063,-3.140543,-3.127186,3.141064,3.141431,3.141132
0.328000,3.125713,-3.140540,-3.126253,3.141064,3.141431,3.141132
0.330000,3.125713,-3.140540,-3.126253,3.141064,3.141431,3.141132
0.330000,3.126040,-3.140549,-3.125758,3.141064,3.141431,3.141132
0.332000,3.126367,-3.140564,-3.125247,3.141064,3.141431,3.141132
0.334000,3.126695,-3.140585,-3.124718,3.141064,3.141431,3.141132
0.338000,3.127354,-3.140647,-3.123603,3.141064,3.141431,3.141132
0.340000,3.127354,-3.140647,-3.123603,3.141064,3.141431,3.141132
0.342000,3.127684,-3.140688,-3.123016,3.141064,3.141431,3.141132
0.342000,3.128013,-3.140733,-3.122414,3.141064,3.141431,3.141132
0.344000,3.128341,-3.140785,-3.121792,3.141064,3.141431,3.141132
0.346000,3.128665,-3.140840,-3.121152,3.141064,3.141431,3.141132
0.350000,3.129303,-3.140960,-3.119818,3.141064,3.141431,3.141132
0.350000,3.129303,-3.140960,-3.119818,3.141064,3.141431,3.141132
0.352000,3.129615,-3.141026,-3.119124,3.141064,3.141431,3.141132
0.354000,3.129923,-3.141094,-3.118416,3.141064,3.141431,3.141132
0.356000,3.130226,-3.141165,-3.117691,3.141064,3.141431,3.141132
0.358000,3.130525,-3.141240,-3.116948,3.141064,3.141431,3.141132
0.362000,3.130820,-3.141318,-3.116188,3.141064,3.141431,3.141132
0.362000,3.131110,-3.141399,-3.115410,3.141064,3.141431,3.141132
0.364000,3.131396,-3.141483,-3.114614,3.141064,3.141431,3.141132
0.366000,3.131677,-3.141570,-3.113800,3.141064,3.141431,3.141132
0.368000,3.131954,3.141525,-3.112968,3.141064,3.141431,3.141132
0.372000,3.132495,3.141336,-3.111252,3.141064,3.141431,3.141132
0.374000,3.132495,3.141336,-3.111252,3.141064,3.141431,3.141132
0.376000,3.132758,3.141238,-3.110368,3.141064,3.141431,3.141132
0.376000,3.133017,3.141138,-3.109472,3.141064,3.141431,3.141132
0.378000,3.133271,3.141036,-3.108560,3.141064,3.141431,3.141132
0.380000,3.133520,3.140932,-3.107631,3.141064,3.141431,3.141132
0.384000,3.134006,3.140717,-3.105723,3.141064,3.141431,3.141132
0.386000,3.134006,3.140717,-3.105723,3.141064,3.141431,3.141132
0.386000,3.134242,3.140607,-3.104745,3.141064,3.141431,3.141132
0.388000,3.134474,3.140495,-3.103756,3.141064,3.141431,3.141132
0.392000,3.134702,3.140382,-3.102753,3.141064,3.141431,3.141132
0.394000,3.134926,3.140267,-3.101736,3.141064,3.141431,3.141132
0.394000,3.135146,3.140151,-3.100704,3.141064,3.141431,3.141132
0.396000,3.135362,3.140034,-3.099662,3.141064,3.141431,3.141132
0.400000,3.135574,3.139916,-3.098606,3.141064,3.141431,3.141132
0.400000,3.135782,3.139797,-3.097536,3.141064,3.141431,3.141132
0.402000,3.135986,3.139677,-3.096451,3.141064,3.141431,3.141132
0.404000,3.136185,3.139557,-3.095355,3.141064,3.141431,3.141132
0.406000,3.136381,3.139437,-3.094245,3.141064,3.141431,3.141132
0.408000,3.136573,3.139316,-3.093121,3.141064,3.141431,3.141132
0.410000,3.136762,3.139194,-3.091982,3.141064,3.141431,3.141132
0.412000,3.136947,3.139072,-3.090841,3.141064,3.141431,3.141132
0.414000,3.137130,3.138950,-3.089699,3.141064,3.141431,3.141132
0.416000,3.137311,3.138828,-3.088553,3.141064,3.141431,3.141132
0.420000,3.137490,3.138705,-3.087403,3.141064,3.141431,3.141132
0.420000,3.137665,3.138583,-3.086244,3.141064,3.141431,3.141132
0.422000,3.137836,3.138461,-3.085075,3.141064,3.141431,3.141132
0.426000,3.138003,3.138340,-3.083895,3.141064,3.141431,3.141132
0.428000,3.137893,3.138059,-3.082803,3.141064,3.141431,3.141132
0.428000,3.137523,3.137630,-3.081793,3.141064,3.141431,3.141132
